epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,709.717,1.1721,1.38068,1.35327,0.64122,0.49996,0.53901,0.33846,1.3813,1.46051,1.46624,0.00331683,0.00331683,0.0701485
2,1370.5,1.19001,1.34771,1.3548,0.58695,0.52707,0.54978,0.34658,1.41838,1.45611,1.49793,0.00533343,0.00533343,0.0388318
3,2114.97,1.19148,1.33155,1.35595,0.59744,0.51359,0.54735,0.34736,1.39579,1.43304,1.49586,0.00603003,0.00603003,0.00619505
4,2852.32,1.19342,1.36562,1.35612,0.62193,0.50152,0.54531,0.33829,1.361,1.44323,1.4526,0.00406,0.00406,0.00406
5,343.442,1.16648,1.38896,1.35524,0.60425,0.5142,0.54743,0.34473,1.35207,1.48993,1.44229,0.00208,0.00208,0.00208
