epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,606.828,1.1721,1.38068,1.35327,0.64122,0.49996,0.53901,0.33846,1.3813,1.46051,1.46624,0.00331683,0.00331683,0.0701485
2,1352.27,1.19001,1.34771,1.3548,0.58695,0.52707,0.54978,0.34658,1.41838,1.45611,1.49793,0.00533343,0.00533343,0.0388318
